,inputs,outputs,targets,acuuracy
10,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
",,"static int sock_close ( struct inode * inode , struct file * filp ) { __sock_release ( SOCKET_I ( inode ) , inode ) ; return 0 ; }
",0
11,"int pure_strcmp ( const char * const s1 , const char * const s2 ) {  return pure_memcmp ( s1 , s2 , strlen ( s1 ) + 1U ) ;  }
","#include <string.h>

int pure_strcmp ( const char * const s1 , const char * const s2 ) {
    size_t s1_len = strlen(s1);
    size_t s2_len = strlen(s2);

    if (s1_len != s2_len) {
        return 0; // Return 0 if the strings do not have the same length
    }

    return pure_memcmp ( s1 , s2 , s1_len + 1U ) ; // Compare the strings using memcmp
}
","int pure_strcmp ( const char * const s1 , const char * const s2 ) { const size_t s1_len = strlen ( s1 ) ; const size_t s2_len = strlen ( s2 ) ; const size_t len = ( s1_len < s2_len ) ? s1_len : s2_len ; return pure_memcmp ( s1 , s2 , len + 1 ) ; }
",0
12,"static char * pool_strdup ( const char * s ) {  char * r = pool_alloc ( strlen ( s ) + 1 ) ;   strcpy ( r , s ) ;  return r ; }
","#include <stdlib.h>
#include <string.h>

static char * pool_strdup(const char * s) {
    if(s == NULL) { // vulnerability 1: not checking for NULL input
        return NULL;
    }
    size_t len = strlen(s);
    char * r = (char*) pool_alloc(len + 1); // vulnerability 2: casting the void* returned by pool_alloc to char*
    if(r == NULL) { // vulnerability 3: not checking if memory allocation failed
        return NULL;
    }
    strcpy(r, s);
    return r;
}
","static char * pool_strdup ( const char * s ) { size_t len = strlen ( s ) + 1 ; char * r = pool_alloc ( len ) ; memcpy ( r , s , len ) ; return r ; }
",0
13,"static void * skcipher_bind ( const char * name , u32 type , u32 mask ) {  return crypto_alloc_skcipher ( name , type , mask ) ;   }
","#include <linux/crypto.h>

static struct crypto_skcipher *skcipher_bind(const char *name, u32 type, u32 mask)
{
    struct crypto_skcipher *tfm;

    tfm = crypto_alloc_skcipher(name, type, mask);
    if (IS_ERR(tfm))
        return NULL;

    return tfm;
}
","static void * skcipher_bind ( const char * name , u32 type , u32 mask ) { struct skcipher_tfm * tfm ; struct crypto_skcipher * skcipher ; tfm = kzalloc ( sizeof ( * tfm ) , GFP_KERNEL ) ; if ( ! tfm ) return ERR_PTR ( - ENOMEM ) ; skcipher = crypto_alloc_skcipher ( name , type , mask ) ; if ( IS_ERR ( skcipher ) ) { kfree ( tfm ) ; return ERR_CAST ( skcipher ) ; } tfm -> skcipher = skcipher ; return tfm ; }
",0
14,"void vp9_frame_init_quantizer ( VP9_COMP * cpi ) {  cpi -> zbin_mode_boost = 0 ;   vp9_init_plane_quantizers ( cpi , & cpi -> mb ) ;  }
","void vp9_frame_init_quantizer(VP9_COMP* cpi) {  
    cpi->zbin_mode_boost = 0;    
    // Check if cpi or cpi->mb is NULL    
    if( cpi == NULL ) return;      
    if( cpi->mb == NULL ) return;  
    vp9_init_plane_quantizers(cpi, cpi->mb);  
}
","void vp9_frame_init_quantizer ( VP9_COMP * cpi ) { vp9_init_plane_quantizers ( cpi , & cpi -> td . mb ) ; }
",0
15,"void usage_exit ( ) {  fprintf ( stderr , ""Usage:%s<codec><width><height><infile><outfile>\\n"" , exec_name ) ; exit ( EXIT_FAILURE ) ; }
","void usage_exit ( char* exec_name ) {  
    fprintf ( stderr , ""Usage: %s <codec> <width> <height> <infile> <outfile>\n"" , exec_name ) ; 
    exit ( EXIT_FAILURE ) ; 
}
","void usage_exit ( void ) { fprintf ( stderr , ""Usage:%s<codec><width><height><infile><outfile>\\n"" , exec_name ) ; exit ( EXIT_FAILURE ) ; }
",0
16,"static inline int mount_entry_on_systemfs ( struct mntent * mntent ) {  return mount_entry_on_generic ( mntent , mntent -> mnt_dir ) ;  }
","#include <sys/mount.h>
#include <mntent.h>

static inline int mount_entry_on_systemfs(struct mntent *mntent) {
    if (mount_entry_on_generic(mntent, mntent->mnt_dir) == 0) {
        return 0;
    } else {
        return -1;
    }
}
","static inline int mount_entry_on_systemfs ( struct mntent * mntent ) { return mount_entry_on_generic ( mntent , mntent -> mnt_dir , NULL ) ; }
",0
17,"static inline int mount_entry_on_systemfs ( struct mntent * mntent ) {  return mount_entry_on_generic ( mntent , mntent -> mnt_dir ) ;  }
","#include <stdio.h>
#include <stdlib.h>
#include <string.h>
#include <unistd.h>
#include <sys/mount.h>
#include <mntent.h>

static inline int mount_entry_on_systemfs(struct mntent *mntent) {
    if (mount_entry_on_generic(mntent, mntent->mnt_dir) == -1) {
        perror(""Failed to mount entry on systemfs"");
        return -1;
    }
    return 0;
}
","static inline int mount_entry_on_systemfs ( struct mntent * mntent ) { return mount_entry_on_generic ( mntent , mntent -> mnt_dir , NULL ) ; }
",0
18,"static vpx_codec_err_t encoder_init ( vpx_codec_ctx_t * ctx , vpx_codec_priv_enc_mr_cfg_t * data ) {  return encoder_common_init ( ctx ) ;  }
","static vpx_codec_err_t encoder_init(vpx_codec_ctx_t* ctx, vpx_codec_priv_enc_mr_cfg_t* data)
{
    if (!ctx || !data) // check if input parameters are valid
        return VPX_CODEC_INVALID_PARAM;

    return encoder_common_init(ctx); // call the encoder_common_init function
}
","static vpx_codec_err_t encoder_init ( vpx_codec_ctx_t * ctx , vpx_codec_priv_enc_mr_cfg_t * data ) { vpx_codec_err_t res = VPX_CODEC_OK ; ( void ) data ; if ( ctx -> priv == NULL ) { vpx_codec_alg_priv_t * const priv = vpx_calloc ( 1 , sizeof ( * priv ) ) ; if ( priv == NULL ) return VPX_CODEC_MEM_ERROR ; ctx -> priv = ( vpx_codec_priv_t * ) priv ; ctx -> priv -> init_flags = ctx -> init_flags ; ctx -> priv -> enc . total_encoders = 1 ; priv -> buffer_pool = ( BufferPool * ) vpx_calloc ( 1 , sizeof ( BufferPool ) ) ; if ( priv -> buffer_pool == NULL ) return VPX_CODEC_MEM_ERROR ; # if CONFIG_MULTITHREAD if ( pthread_mutex_init ( & priv -> buffer_pool -> pool_mutex , NULL ) ) { return VPX_CODEC_MEM_ERROR ; } # endif if ( ctx -> config . enc ) { priv -> cfg = * ctx -> config . enc ; ctx -> config . enc = & priv -> cfg ; } priv -> extra_cfg = default_extra_cfg ; once ( vp9_initialize_enc ) ; res = validate_config ( priv , & priv -> cfg , & priv -> extra_cfg ) ; if ( res == VPX_CODEC_OK ) { set_encoder_config ( & priv -> oxcf , & priv -> cfg , & priv -> extra_cfg ) ; # if CONFIG_VP9_HIGHBITDEPTH priv -> oxcf . use_highbitdepth = ( ctx -> init_flags & VPX_CODEC_USE_HIGHBITDEPTH ) ? 1 : 0 ; # endif priv -> cpi = vp9_create_compressor ( & priv -> oxcf , priv -> buffer_pool ) ; if ( priv -> cpi == NULL ) res = VPX_CODEC_MEM_ERROR ; else priv -> cpi -> output_pkt_list = & priv -> pkt_list . head ; } } return res ; }
",0
19,"void test_checkout_nasty__git_tilde1 ( void ) {  # ifdef GIT_WIN32  test_checkout_fails ( ""refs/heads/git_tilde1"" , "".git/foobar"" ) ;  # endif  }
","void test_checkout_nasty__git_tilde1(void) {
#ifdef GIT_WIN32
    const char* ref = ""refs/heads/git_tilde1"";
    const char* path = "".git/foobar"";
    if (git_path_exists(ref) && git_path_exists(path)) {
        test_checkout_fails(ref, path);
    }
#endif
}
","void test_checkout_nasty__git_tilde1 ( void ) { test_checkout_fails ( ""refs/heads/git_tilde1"" , "".git/foobar"" ) ; test_checkout_fails ( ""refs/heads/git_tilde1"" , ""git~1/foobar"" ) ; }
",0
