,inputs,outputs,acuuracy
24,"void Rectangle ( double x , double y , double w , double h ) {  outpos += sprintf ( outpos , ""\\n%12.3f%12.3f%12.3f%12.3fre"" , x , y , w , h ) ;   }
","void Rectangle(double x, double y, double w, double h) { 
    sprintf(outpos,""%s\\n%12.3f%12.3f%12.3f%12.3f"", outpos, x, y, w, h); 
}
",0
25,"static int read_segment_id ( vp9_reader * r , const struct segmentation * seg ) {   return vp9_read_tree ( r , vp9_segment_tree , seg -> tree_probs ) ;  }
","// Add necessary includes and declarations
#include ""vp9_reader.h""
#include ""vp9_seg_common.h""

static int read_segment_id(vp9_reader *r, const struct segmentation *seg) {
  // Call vp9_read_tree with correct arguments
  return vp9_read_tree(r, vp9_segment_tree, seg->tree_probs, MAX_SEGMENTS);
}
",0
26,"void * xcalloc ( size_t num , size_t size ) {  void * ptr = malloc ( num * size ) ;  if ( ptr ) {  memset ( ptr , '\\0' , ( num * size ) ) ;  } return ptr ; }
","void * xcalloc ( size_t num , size_t size ) {  
    void * ptr = calloc(num, size); //Changed malloc to calloc
    return ptr ; 
}
",0
27,"cJSON * cJSON_GetArrayItem ( cJSON * array , int item ) {  cJSON * c = array -> child ;   while ( c && item > 0 ) {  -- item ; c = c -> next ;  }  return c ; }
","cJSON* cJSON_GetArrayItem(cJSON* array, int item) {
    if(array == NULL || item < 0) {
        return NULL;
    }
    
    cJSON* c = array->child;
    while(c && item > 0) {
        item--;
        c = c->next;
    }
    
    return c;
}
",0
28,"static struct o2nm_cluster * to_o2nm_cluster_from_node ( struct o2nm_node * node ) {  return to_o2nm_cluster ( node -> nd_item . ci_parent -> ci_parent ) ;   }
","static struct o2nm_cluster * to_o2nm_cluster_from_node(struct o2nm_node *node) {
  return to_o2nm_cluster(node->nd_item.ci_parent->ci_parent);
}

static struct o2nm_cluster * to_o2nm_cluster(struct o2nm_cluster_item *item) {
  return container_of(item, struct o2nm_cluster, cl_item);
}
",0
29,"struct crypto_template * crypto_lookup_template ( const char * name ) {  return try_then_request_module ( __crypto_lookup_template ( name ) , ""%s"" ,  name ) ; }
","struct crypto_template * crypto_lookup_template(const char *name) {
    struct crypto_template *tmpl;
    tmpl = try_then_request_module(__crypto_lookup_template(name), ""%s"", name);
    return tmpl;
}
",0
30,"static void l2tp_eth_dev_setup ( struct net_device * dev ) { ether_setup ( dev ) ;  dev -> netdev_ops = & l2tp_eth_netdev_ops ;  dev -> destructor = free_netdev ; }
","static void l2tp_eth_dev_setup(struct net_device* dev) {
    dev->netdev_ops = &l2tp_eth_netdev_ops;
    dev->destructor = free_netdev;
    ether_setup(dev);
}
",0
31,"static void ieee80211_if_setup ( struct net_device * dev ) { ether_setup ( dev ) ;  dev -> netdev_ops = & ieee80211_dataif_ops ;  dev -> destructor = free_netdev ; }
","static void ieee80211_if_setup ( struct net_device * dev ) { 
    ether_setup ( dev ) ;  
    dev->netdev_ops = &ieee80211_dataif_ops ;
    dev->destructor = free_netdev ;
    // add the following line
    dev->needs_free_netdev = true;
}
",0
32,"int X509_verify ( X509 * a , EVP_PKEY * r )  {  return ( ASN1_item_verify ( ASN1_ITEM_rptr ( X509_CINF ) , a -> sig_alg , a -> signature , a -> cert_info , r ) ) ; }
","There are multiple bugs in the code:
1. There is no NULL check on the parameters `a` and `r`, which can result in undefined behavior if either of them is NULL.
2. The function name should start with a lowercase letter according to standard coding conventions.
3. There is no return type specified for `ASN1_item_verify`. 

The fixed code is:

int x509_verify(X509 *a, EVP_PKEY *r) {
    
    if (!a || !r) {
        return -1; // or any appropriate error code
    }

    int result = ASN1_item_verify(ASN1_ITEM_rptr(X509_CINF), a->sig_alg, a->signature, a->cert_info, r);
    return result;
}
",0
33,"static int snd_seq_device_dev_free ( struct snd_device * device ) { struct snd_seq_device * dev = device -> device_data ;  put_device ( & dev -> dev ) ;  return 0 ; }
","static int snd_seq_device_dev_free(struct snd_device *device) {
    struct snd_seq_device *dev = dev_get_drvdata(&device->dev);
    put_device(&dev->dev);
    return 0;
}
",0
34,"static int remove_bond ( const bt_bdaddr_t * bd_addr )  {  if ( interface_ready ( ) == FALSE ) return BT_STATUS_NOT_READY ; return btif_dm_remove_bond ( bd_addr ) ; }
","static int remove_bond ( const bt_bdaddr_t * bd_addr )  {  
    if ( interface_ready ( ) == FALSE ) {
        return BT_STATUS_NOT_READY ; 
    } else {
        return btif_dm_remove_bond ( bd_addr ) ; 
    }
}
",0
35,"static void smp_task_done ( struct sas_task * task ) {  if ( ! del_timer ( & task -> slow_task -> timer ) )  return ; complete ( & task -> slow_task -> completion ) ; }
","static void smp_task_done (struct sas_task *task) {
    if (timer_pending(&task->slow_task->timer)) {
        del_timer_sync(&task->slow_task->timer);
    }
    complete(&task->slow_task->completion);
}
",0
36,"static int jas_iccgetuint32 ( jas_stream_t * in , jas_iccuint32_t * val ) {  ulonglong tmp ;  if ( jas_iccgetuint ( in , 4 , & tmp ) ) return - 1 ; * val = tmp ; return 0 ; }
","static int jas_iccgetuint32(jas_stream_t *in, jas_iccuint32_t *val) {
    uint32_t tmp;
    if (jas_iccgetuint(in, 4, &tmp)) {
        return -1;
    }
    *val = tmp;
    return 0;
}
",0
37,"static int jas_iccgetuint64 ( jas_stream_t * in , jas_iccuint64_t * val ) {  ulonglong tmp ;  if ( jas_iccgetuint ( in , 8 , & tmp ) ) return - 1 ; * val = tmp ; return 0 ; }
","static int jas_iccgetuint64(jas_stream_t* in, jas_iccuint64_t* val) {
    jas_iccuint64_t tmp;
    if (jas_iccgetuint(in, 8, &tmp)) return -1;
    *val = JAS_UINT64_SWAP(tmp);
    return 0;
}
",0
38,"static void hugetlbfs_put_super ( struct super_block * sb ) { struct hugetlbfs_sb_info * sbi = HUGETLBFS_SB ( sb ) ; if ( sbi ) { sb -> s_fs_info = NULL ;  kfree ( sbi ) ;  } }
","static void hugetlbfs_put_super(struct super_block *sb) {
    struct hugetlbfs_sb_info *sbi = HUGETLBFS_SB(sb);
    if (sbi != NULL) {
        sb->s_fs_info = NULL;
        kfree(sbi);
    }
}
",0
39,"int bson_check_field_name ( bson * b , const char * string ,  const int length ) {  return bson_validate_string ( b , ( const unsigned char * ) string , length , 1 , 1 , 1 ) ; }
","int bson_check_field_name(bson* b, const char* string, const int length){
   if(length == 0){
      return 0;
   }
   return bson_validate_string(b, (const unsigned char*) string, length, 1, 1, 1);
}
",0
40,"static const SvcInternal * get_const_svc_internal ( const SvcContext * svc_ctx ) {  if ( svc_ctx == NULL ) return NULL ;  return ( const SvcInternal * ) svc_ctx -> internal ;  }
","static const SvcInternal* get_const_svc_internal(const SvcContext* svc_ctx) {
    if (svc_ctx == NULL) {
        return NULL;
    }
    return static_cast<const SvcInternal*>(svc_ctx->internal);  
}
",0
41,"void put_filp ( struct file * file ) { if ( atomic_long_dec_and_test ( & file -> f_count ) ) { security_file_free ( file ) ;  file_sb_list_del ( file ) ;  file_free ( file ) ; } }
","void put_filp(struct file *file) {
    if (atomic_long_dec_and_test(&file->f_count)) {
        file_sb_list_del(file);
        security_file_free(file);
        fput(file);
    }
}
",0
42,"void close_uinput ( void ) { BTIF_TRACE_DEBUG ( ""%s"" , __FUNCTION__ ) ; if ( uinput_fd > 0 ) {  ioctl ( uinput_fd , UI_DEV_DESTROY ) ;  close ( uinput_fd ) ; uinput_fd = - 1 ; } }
","void close_uinput ( void ) {
    BTIF_TRACE_DEBUG ( ""%s"", __FUNCTION__ ) ;
    if ( uinput_fd >= 0 ) { // change to greater than or equal to zero to also close if uinput_fd == 0
        ioctl ( uinput_fd, UI_DEV_DESTROY ) ;
        close ( uinput_fd ) ;
        uinput_fd = -1 ;
    }
}
",0
43,"static int check_line_charstring ( void ) { char * p = line ;  while ( isspace ( * p ) )  p ++ ; return ( * p == '/' || ( p [ 0 ] == 'd' && p [ 1 ] == 'u' && p [ 2 ] == 'p' ) ) ; }
","static int check_line_charstring ( void ) {
    char * p = line ;
    while ( isspace ( * p ) )
        p ++ ;
    if (* p == '/') {
        return 1;
    } else if ( p [ 0 ] == 'd' && p [ 1 ] == 'u' && p [ 2 ] == 'p' ) {
        return 1;
    } else {
        return 0;
    }
}
",0
44,"static TX_MODE read_tx_mode ( vp9_reader * r ) {   TX_MODE tx_mode = vp9_read_literal ( r , 2 ) ;  if ( tx_mode == ALLOW_32X32 )  tx_mode += vp9_read_bit ( r ) ;  return tx_mode ; }
","static TX_MODE read_tx_mode(vp9_reader* r) {
    TX_MODE tx_mode = (TX_MODE)vp9_read_literal(r, 2);
    if (tx_mode == ALLOW_32X32)
        tx_mode += vp9_read_bit(r);
    return tx_mode;
}
",0
45,"static RD_BOOL mcs_parse_domain_params ( STREAM s ) {  int length ;   ber_parse_header ( s , MCS_TAG_DOMAIN_PARAMS , & length ) ;  in_uint8s ( s , length ) ; return s_check ( s ) ; }
","static RD_BOOL mcs_parse_domain_params(STREAM s) {
    int length;
    if (!ber_parse_header(s, MCS_TAG_DOMAIN_PARAMS, &length)) {
        return FALSE;
    }
    if (!in_uint8s(s, length)) {
        return FALSE;
    }
    return s_check(s);
}
",0
46,"static void buffer_pipe_buf_get ( struct pipe_inode_info * pipe ,  struct pipe_buffer * buf ) { struct buffer_ref * ref = ( struct buffer_ref * ) buf -> private ;  ref -> ref ++ ;   }
","static void buffer_pipe_buf_get(struct pipe_inode_info *pipe, struct pipe_buffer *buf) {
    struct buffer_ref *ref = (struct buffer_ref *)buf->private_data;
    ref->ref++;
}
",0
47,"int snmp_version ( void * context , size_t hdrlen , unsigned char tag , const void * data , size_t datalen ) {  if ( * ( unsigned char * ) data > 1 )  return - ENOTSUPP ; return 1 ; }
","#include <errno.h>

int snmp_version(void* context, size_t hdrlen, unsigned char tag, const void* data, size_t datalen)
{
    if (*(unsigned char*) data > 1)
        return -ENOTSUPP;
    else
        return 1;
}
",0
48,"static void pcrypt_free ( struct crypto_instance * inst )  {  struct pcrypt_instance_ctx * ctx = crypto_instance_ctx ( inst ) ;  crypto_drop_aead ( & ctx -> spawn ) ; kfree ( inst ) ; }
","static void pcrypt_free(struct crypto_instance *inst) { 
    struct pcrypt_instance_ctx *ctx = crypto_instance_ctx(inst); 
    crypto_drop_spawn(&ctx->spawn);
    kfree(inst);
}
",0
49,"int jas_stream_pad ( jas_stream_t * stream , int n , int c ) {  int m ;  m = n ; for ( m = n ; m > 0 ; -- m ) { if ( jas_stream_putc ( stream , c ) == EOF ) return n - m ; } return n ; }
","int jas_stream_pad ( jas_stream_t * stream , int n , int c ) {
    int m = n;
    for ( ; m > 0 ; --m ) {
        if ( jas_stream_putc ( stream , c ) == EOF ) {
            return n - m;
        }
    }
    return n;
}
",0
50,"static vpx_codec_err_t ctrl_set_invert_tile_order ( vpx_codec_alg_priv_t * ctx ,  int ctr_id , va_list args ) {  ctx -> invert_tile_order = va_arg ( args , int ) ; return VPX_CODEC_OK ; }
","static vpx_codec_err_t ctrl_set_invert_tile_order(vpx_codec_alg_priv_t* ctx, int ctr_id, va_list args) {
  if (!ctx) return VPX_CODEC_INVALID_PARAM;  // check for null pointer
  ctx->invert_tile_order = va_arg(args, int);
  return VPX_CODEC_OK;
}
",0
51,"cJSON * cJSON_GetObjectItem ( cJSON * object , const char * string ) {  cJSON * c = object -> child ;  while ( c && cJSON_strcasecmp ( c -> string , string ) ) c = c -> next ; return c ; }
","cJSON * cJSON_GetObjectItem ( cJSON * object , const char * string ) {
    if(object == NULL || string == NULL) {
        return NULL;
    }
    cJSON * c = object -> child ;  
    while ( c != NULL && cJSON_strcasecmp ( c -> string , string ) != 0 ) {
        c = c -> next ;
    }
    return c ; 
}
",0
52,"static int decode_unsigned_max ( struct vp9_read_bit_buffer * rb , int max ) {   const int data = vp9_rb_read_literal ( rb , get_unsigned_bits ( max ) ) ;  return data > max ? max : data ; }
","static int decode_unsigned_max(struct vp9_read_bit_buffer *rb, int max) {
   const int data = vp9_rb_read_literal(rb, get_unsigned_bits(max));
   return (data >= max) ? max : data;
}
",0
53,"void user_describe ( const struct key * key , struct seq_file * m ) { seq_puts ( m , key -> description ) ;  if ( key_is_instantiated ( key ) )  seq_printf ( m , "":%u"" , key -> datalen ) ; }
","void user_describe(const struct key* key, struct seq_file* m) {
    if(key == NULL) { // add a NULL check
        seq_puts(m, ""Key is NULL"");
        return;
    }
    seq_puts(m, key->description);
    if(key_is_instantiated(key))
        seq_printf(m, "":%u"", key->datalen);
}
",0
54,"void user_describe ( const struct key * key , struct seq_file * m ) { seq_puts ( m , key -> description ) ;  if ( key_is_instantiated ( key ) )  seq_printf ( m , "":%u"" , key -> datalen ) ; }
","void user_describe(const struct key* key, struct seq_file* m) {
    seq_puts(m, key->description);
    if (key->payload.data && key->payload.type == KEY_TYPE_BINARY)
        seq_printf(m, "":%u"", (unsigned int)key->payload.data[0]);
}
",0
55,"void * sspi_SecureHandleGetUpperPointer ( SecHandle * handle ) { void * pointer ;  if ( ! handle )  return NULL ; pointer = ( void * ) ~ ( ( size_t ) handle -> dwUpper ) ; return pointer ; }
","void *sspi_SecureHandleGetUpperPointer(SecHandle *handle) {
    void *pointer;
    
    if (!handle) {
        return NULL;
    }
    
    pointer = (void *)&(handle->dwUpper);
    return pointer;
}
",0
56,"static inline size_t GetPSDRowSize ( Image * image ) { if ( image -> depth == 1 )  return ( ( image -> columns + 7 ) / 8 ) ;  else return ( image -> columns * GetPSDPacketSize ( image ) ) ; }
","static inline size_t GetPSDRowSize(Image* image) {
  if (image->depth == 1)
    return ((image->columns + 7) / 8);
  else {
    size_t packet_size;
    if (image->depth == 8)
      packet_size = 1;
    else if (image->depth == 16)
      packet_size = 2;
    else
      // handle other depths if necessary
      packet_size = 1;

    return (image->columns * packet_size);
  }
}
",0
57,"void vp9_tree_probs_from_distribution ( vp9_tree tree ,  unsigned int branch_ct [ ] [ 2 ] , const unsigned int num_events [ ] ) { convert_distribution ( 0 , tree , branch_ct , num_events ) ; }
","void vp9_tree_probs_from_distribution(vp9_tree tree, unsigned int branch_ct[][2], const unsigned int num_events[]) {
    convert_distribution(0, tree, num_events, branch_ct);
}
",0
58,"static void write_intra_mode ( vp9_writer * w , MB_PREDICTION_MODE mode ,   const vp9_prob * probs ) {  vp9_write_token ( w , vp9_intra_mode_tree , probs , & intra_mode_encodings [ mode ] ) ; }
","static void write_intra_mode(vp9_writer *w, MB_PREDICTION_MODE mode, const vp9_prob *probs) {
    vp9_write_token(w, vp9_intra_mode_tree, probs, &vp9_intra_mode_encodings[mode]);
}
",0
59,"int ipmi_destroy_user ( struct ipmi_user * user ) {  _ipmi_destroy_user ( user ) ;  cleanup_srcu_struct ( & user -> release_barrier ) ; kref_put ( & user -> refcount , free_user ) ; return 0 ; }
","int ipmi_destroy_user ( struct ipmi_user * user ) {  
    _ipmi_destroy_user ( user ) ;  
    cleanup_srcu_struct ( & user -> release_barrier ) ; 
    kref_put ( & user -> refcount , (void (*)(struct kref *))free_user ); 
    return 0 ; 
}
",0
60,"int ipmi_destroy_user ( struct ipmi_user * user ) {  _ipmi_destroy_user ( user ) ;  cleanup_srcu_struct ( & user -> release_barrier ) ; kref_put ( & user -> refcount , free_user ) ; return 0 ; }
","int ipmi_destroy_user ( struct ipmi_user * user ) {
    _ipmi_destroy_user ( user ) ;
    cleanup_srcu_struct ( & user -> release_barrier ) ;
    kref_put ( & user -> refcount , free_user );
    return 0;
}
",0
61,"static void  swabHorAcc16 ( TIFF * tif , uint8 * cp0 , tmsize_t cc ) { uint16 * wp = ( uint16 * ) cp0 ; tmsize_t wc = cc / 2 ; TIFFSwabArrayOfShort ( wp , wc ) ;  horAcc16 ( tif , cp0 , cc ) ;  }
","static void swabHorAcc16(TIFF* tif, uint8* cp0, tmsize_t cc) {
    uint16* wp = (uint16*)cp0;
    tmsize_t wc = cc / 2;
    TIFFSwabArrayOfShort(wp, wc);
    horAcc16(tif, (uint8*)wp, cc); //cast wp to uint8*
}
",0
62,"int SWFInput_readSBits ( SWFInput input , int number ) { int num = SWFInput_readBits ( input , number ) ;  if ( num & ( 1 << ( number - 1 ) ) )  return num - ( 1 << number ) ; else return num ; }
","int SWFInput_readSBits ( SWFInput input , int number ) { 
    int num = SWFInput_readBits ( input , number ) ;  
    // Fix: add condition to handle negative numbers
    if (num < (1 << (number-1))) {
        return num;
    }
    int signBit = (1 << (number-1));
    return num - (2*signBit);
}
",0
63,"int scsi_cmd_blk_ioctl ( struct block_device * bd , fmode_t mode , unsigned int cmd , void __user * arg ) {  return scsi_cmd_ioctl ( bd -> bd_disk -> queue , bd -> bd_disk , mode , cmd , arg ) ;  }
","int scsi_cmd_blk_ioctl (struct block_device *bd, fmode_t mode, unsigned int cmd, void __user *arg) {
    return scsi_run_cmd_ioctl(bd->bd_disk->queue, bd->bd_disk, mode, cmd, arg);
}
",0
64,"static void  swabHorDiff16 ( TIFF * tif , uint8 * cp0 , tmsize_t cc ) { uint16 * wp = ( uint16 * ) cp0 ; tmsize_t wc = cc / 2 ;  horDiff16 ( tif , cp0 , cc ) ;  TIFFSwabArrayOfShort ( wp , wc ) ;  }
","static void swabHorDiff16(TIFF* tif, uint8* cp0, tmsize_t cc) {
    uint16 *wp = (uint16*)cp0;
    tmsize_t wc = cc / 2;

    // Allocate a temporary buffer that is aligned on a two-byte boundary
    uint16* tmp = (uint16*)_TIFFmalloc(cc);
    if (tmp == NULL) {
        // Handle out-of-memory error
        return;
    }

    // Copy the input buffer to the temporary buffer
    memcpy(tmp, cp0, cc);

    // Apply the horDiff16 function to the temporary buffer
    horDiff16(tif, (uint8*)tmp, cc);

    // Swap the byte order of the temporary buffer using TIFFSwabArrayOfShort
    TIFFSwabArrayOfShort(tmp, wc);

    // Copy the temporary buffer back to the input buffer
    memcpy(cp0, tmp, cc);

    // Free the temporary buffer
    _TIFFfree(tmp);
}
",0
65,"int sas_discover_end_dev ( struct domain_device * dev ) { int res ; res = sas_notify_lldd_dev_found ( dev ) ; if ( res ) return res ;  sas_discover_event ( dev -> port , DISCE_PROBE ) ;  return 0 ; }
","int sas_discover_end_dev (struct domain_device *dev) {
    int res;
    res = sas_notify_lldd_dev_found(dev);
    if (res)
        return res;
    sas_discover_event(dev->port, DISCE_PROBE);
    return 0;
}
",0
66,"void ntlm_write_message_header ( wStream * s , NTLM_MESSAGE_HEADER * header )  { Stream_Write ( s , header -> Signature , sizeof ( NTLM_SIGNATURE ) ) ; Stream_Write_UINT32 ( s , header -> MessageType ) ; }
","void ntlm_write_message_header(wStream* s, NTLM_MESSAGE_HEADER* header) {
    Stream_Write(s, header->Signature, sizeof(NTLM_SIGNATURE));
    Stream_Write_UINT32(s, header->MessageType);
    Stream_Write_UINT32(s, 0); // Add this line to fix the bug
}
",0
67,"static void ptrace_link ( struct task_struct * child , struct task_struct * new_parent ) {  rcu_read_lock ( ) ;   __ptrace_link ( child , new_parent , __task_cred ( new_parent ) ) ;  rcu_read_unlock ( ) ; }
","static void ptrace_link(struct task_struct *child, struct task_struct *new_parent)
{
    rcu_read_lock();
    __ptrace_link(child, new_parent, get_task_cred(new_parent));
    rcu_read_unlock();
}
",0
68,"void free_bprm ( struct linux_binprm * bprm ) { free_arg_pages ( bprm ) ; if ( bprm -> cred ) { mutex_unlock ( & current -> signal -> cred_guard_mutex ) ; abort_creds ( bprm -> cred ) ; }  kfree ( bprm ) ;  }
","void free_bprm(struct linux_binprm* bprm) {
    free_arg_pages(bprm);
    if (bprm->cred) {
        mutex_unlock(&current->cred_guard_mutex);
        abort_creds(bprm->cred);
    }
    kfree(bprm);
}
",0
69,"static int getnum ( const char * * fmt , int df ) {  if ( ! isdigit ( * * fmt ) ) return df ; else { int a = 0 ;  do {  a = a * 10 + * ( ( * fmt ) ++ ) - '0' ; } while ( isdigit ( * * fmt ) ) ; return a ; } }
","static int getnum(const char** fmt, int df) {
    if (**fmt == '\0' || !isdigit(**fmt))
        return df;
    else {
        int a = 0;
        do {
            a = a * 10 + **fmt - '0';
            (*fmt)++;
        } while (isdigit(**fmt));
        return a;
    }
}
",0
